
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2017-05-13,TK71,"Hong Kong / Hong Kong International (HKG/VHHH)","Istanbul / Istanbul Airport (IST/LTFM)",23:20:00,06:10:00,11:50:00,"Turkish Airlines (TK/THY)","Boeing 777-300ER (B77W)",,,0,1,1,,1135,8949,769,2023
2017-05-14,TK1985,"Istanbul / Istanbul Airport (IST/LTFM)","London / Heathrow (LHR/EGLL)",13:50:00,14:55:00,03:05:00,"Turkish Airlines (TK/THY)","Airbus A330-300 (A333)",,,0,1,1,,8949,1618,769,31
2017-06-04,AB8291,"Paris / Charles de Gaulle (CDG/LFPG)","Berlin / Tegel (TXL/EDDT)",06:20:00,08:05:00,01:45:00,"Air Berlin (AB/BER)"," ()",,,0,1,1,,509,3055,125,0
2017-06-07,AY918,"Berlin / Tegel (TXL/EDDT)","Helsinki / Vantaa (HEL/EFHK)",19:10:00,22:00:00,02:05:00,"Finnair (AY/FIN)"," ()",,,0,1,1,,3055,1110,304,0
2017-06-08,AY77,"Helsinki / Vantaa (HEL/EFHK)","Osaka / Kansai (KIX/RJBB)",17:25:00,08:55:00,08:30:00,"Finnair (AY/FIN)"," ()",,,0,1,1,,1110,3597,304,0
2017-06-15,GK210,"Osaka / Kansai (KIX/RJBB)","Tokyo / Narita (NRT/RJAA)",20:35:00,22:00:00,01:25:00,"Jetstar Japan (GK/JJP)"," ()",,,0,1,1,,3597,2105,1612,0
2017-06-16,JW309,"Tokyo / Narita (NRT/RJAA)","Hong Kong / Hong Kong International (HKG/VHHH)",20:45:00,00:55:00,05:10:00,"Vanilla Air (JW/VNL)"," ()",,,0,1,1,,2105,1135,1852,0
2018-07-13,5J273,"Hong Kong / Hong Kong International (HKG/VHHH)","Manila / Ninoy Aquino International (MNL/RPLL)",09:45:00,12:00:00,02:15:00,"Cebu Pacific (5J/CEB)","Airbus A330-900neo (A339)",,,0,1,1,,1135,1898,906,2130
2018-07-13,5J803,"Manila / Ninoy Aquino International (MNL/RPLL)","Singapore / Changi (SIN/WSSS)",21:40:00,01:45:00,04:00:00,"Cebu Pacific (5J/CEB)","Airbus A321LR (A21N)",,,0,1,1,,1898,2672,906,2181
2018-07-27,AK722,"Singapore / Changi (SIN/WSSS)","Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)",23:00:00,00:05:00,01:05:00,"Air Asia (AK/AXM)","Airbus A320-200 (A320)",,,0,1,1,,2672,1527,103,2059
2018-07-29,AK353,"Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)","Jakarta / Soekarno Hatta (CGK/WIII)",19:50:00,20:45:00,01:55:00,"Air Asia (AK/AXM)"," ()",,,0,1,1,,1527,534,103,0
2018-07-30,AK354,"Jakarta / Soekarno Hatta (CGK/WIII)","Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)",21:15:00,00:25:00,02:10:00,"Air Asia (AK/AXM)"," ()",,,0,1,1,,534,1527,103,0
2018-07-31,AK272,"Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)","Bandar Seri Begawan / Brunei (BWN/WBSB)",06:35:00,09:05:00,03:20:00,"Air Asia (AK/AXM)","Airbus A320-200 (A320)",,,0,1,1,,1527,450,103,2059
2018-08-01,BI635,"Bandar Seri Begawan / Brunei (BWN/WBSB)","Hong Kong / Hong Kong International (HKG/VHHH)",10:30:00,13:35:00,03:05:00,"Royal Brunei Airlines (BI/RBA)"," ()",,,0,1,1,,450,1135,638,0
2020-01-20,CX795,"Hong Kong / Hong Kong International (HKG/VHHH)","Cape Town / Cape Town (CPT/FACT)",00:10:00,08:45:00,14:35:00,"Cathay Pacific (CX/CPA)","Airbus A350-900 (A359)",,32G,0,4,1,,1135,609,199,2110
2020-01-28,CX748,"Johannesburg / Johannesburg OR Tambo International Airport (JNB/FAOR)","Hong Kong / Hong Kong International (HKG/VHHH)",11:20:00,05:50:00,12:30:00,"Cathay Pacific (CX/CPA)","Airbus A350-900 (A359)",,57A,0,1,1,,1346,1135,199,2110
2023-07-25,CX921,"Hong Kong / Hong Kong International (HKG/VHHH)","Lapu-Lapu / Mactan-Cebu (CEB/RPVM)",08:15:00,11:05:00,03:05:00,"Cathay Pacific (CX/CPA)","Airbus A330-300 (A333)",,,0,1,1,,1135,2086,199,31
2023-08-11,AK6268,"Kota Kinabalu / Kota Kinabalu (BKI/WBKK)","Tawau / Tawau (TWU/WBKW)",06:05:00,07:00:00,01:10:00,"Air Asia (AK/AXM)"," ()",,,0,1,1,,329,3051,103,0
2023-08-15,AK6267,"Tawau / Tawau (TWU/WBKW)","Kota Kinabalu / Kota Kinabalu (BKI/WBKK)",13:45:00,14:35:00,00:50:00,"Air Asia (AK/AXM)"," ()",,,0,1,1,,3051,329,103,0
2023-07-29,5J240,"Lapu-Lapu / Mactan-Cebu (CEB/RPVM)","Hong Kong / Hong Kong International (HKG/VHHH)",06:05:00,08:55:00,01:55:00,"Cebu Pacific (5J/CEB)","Airbus A321LR (A21N)",,,0,1,1,,2086,1135,906,2181
2023-08-10,AK238,"Hong Kong / Hong Kong International (HKG/VHHH)","Kota Kinabalu / Kota Kinabalu (BKI/WBKK)",19:55:00,23:10:00,03:15:00,"Air Asia (AK/AXM)"," ()",,,0,1,1,,1135,329,103,0
2023-08-15,AK239,"Kota Kinabalu / Kota Kinabalu (BKI/WBKK)","Hong Kong / Hong Kong International (HKG/VHHH)",16:15:00,19:10:00,02:55:00,"Air Asia (AK/AXM)"," ()",,,0,1,1,,329,1135,103,0
2024-11-09,BA466,"London / Heathrow (LHR/EGLL)","Madrid / Barajas (MAD/LEMD)",08:10:00,11:40:00,03:30:00,"British Airways (BA/BAW)"," ()",,,0,1,1,,1618,1739,113,0
2024-11-19,VY7830,"Barcelona / El Prat (BCN/LEBL)","London / Gatwick (LGW/EGKK)",07:00:00,08:30:00,01:10:00,"Vueling Airlines (VY/VLG)"," ()",,,0,1,1,,239,1614,839,0
2024-07-14,SQ899,"Hong Kong / Hong Kong International (HKG/VHHH)","Singapore / Changi (SIN/WSSS)",09:05:00,12:55:00,03:50:00,"Singapore Airlines (SQ/SIA)","Airbus A350-900 (A359)",,,0,1,1,,1135,2672,703,2110
2024-07-14,SQ332,"Singapore / Changi (SIN/WSSS)","Paris / Charles de Gaulle (CDG/LFPG)",14:05:00,20:55:00,13:50:00,"Singapore Airlines (SQ/SIA)","Airbus A350-900 (A359)",,,0,1,1,,2672,509,703,2110
2024-07-14,SQ332,"Singapore / Changi (SIN/WSSS)","Paris / Charles de Gaulle (CDG/LFPG)",14:25:00,21:15:00,13:50:00,"Singapore Airlines (SQ/SIA)","Airbus A350-900 (A359)",,,0,1,1,,2672,509,703,2110
2024-07-24,SN3150,"Milan / Linate (LIN/LIML)","Brussels / Brussels (BRU/EBBR)",18:50:00,20:20:00,01:30:00,"Brussels Airlines (SN/BEL)","Airbus A319neo (A19N)",,,0,1,1,,1627,403,1093,2126
2024-08-16,WY144,"Milan / Malpensa (MXP/LIMC)","Muscat / Seeb (MCT/OOMS)",22:05:00,06:25:00,05:20:00,"Oman Air (WY/OMA)","Boeing 787-9 (B789)",,,0,1,1,,1983,1770,579,2088
2024-08-17,WY817,"Muscat / Seeb (MCT/OOMS)","Bangkok / Suvarnabhumi (BKK/VTBS)",21:15:00,06:20:00,06:05:00,"Oman Air (WY/OMA)","Boeing 787-9 (B789)",,,0,1,1,,1770,331,579,2088
2024-08-18,SQ711,"Bangkok / Suvarnabhumi (BKK/VTBS)","Singapore / Changi (SIN/WSSS)",18:30:00,21:55:00,02:25:00,"Singapore Airlines (SQ/SIA)","Airbus A350-900 (A359)",,,0,1,1,,331,2672,703,2110
2024-08-18,SQ638,"Singapore / Changi (SIN/WSSS)","Tokyo / Narita (NRT/RJAA)",23:55:00,08:00:00,07:05:00,"Singapore Airlines (SQ/SIA)","Boeing 787 Dreamliner (B787)",,,0,1,1,,2672,2105,703,2086
2024-08-25,LJ210,"Tokyo / Narita (NRT/RJAA)","Seoul / Incheon (ICN/RKSI)",18:20:00,20:55:00,02:35:00,"Jin Air (LJ/JNA)"," ()",,,0,1,1,,2105,3602,1905,0
2024-08-25,LJ701,"Seoul / Incheon (ICN/RKSI)","Hong Kong / Hong Kong International (HKG/VHHH)",22:20:00,00:55:00,03:35:00,"Jin Air (LJ/JNA)"," ()",,,0,1,1,,3602,1135,1905,0
2025-07-02,LS1515,"London / Stansted (STN/EGSS)","Ibiza / Ibiza (IBZ/LEIB)",16:05:00,19:45:00,03:40:00,"Jet2.com (LS/EXS)"," ()",,,0,1,1,,2785,1209,286,0
2025-07-07,LS3852,"Ibiza / Ibiza (IBZ/LEIB)","London / Luton (LTN/EGGW)",13:40:00,15:20:00,01:40:00,"Jet2.com (LS/EXS)"," ()",,,0,1,1,,1209,1701,286,0
2025-07-08,W61902,"London / Luton (LTN/EGGW)","Vilnius / Vilnius (VNO/EYVI)",08:00:00,12:45:00,03:15:00,"Wizz Air (W6/WZZ)","Airbus A321LR (A21N)",,,0,1,1,,1701,3600,859,2181
2025-07-23,SK1745,"Tallinn / Ulemiste (TLL/EETN)","Stockholm / Arlanda (ARN/ESSA)",16:35:00,16:50:00,01:15:00,"Scandinavian Airlines (SK/SAS)","ATR 72 (AT7X)",,,0,1,1,,2956,3622,677,2032
2025-07-23,SK2591,"Stockholm / Arlanda (ARN/ESSA)","Brussels / Brussels (BRU/EBBR)",17:30:00,19:40:00,02:10:00,"Scandinavian Airlines (SK/SAS)","Airbus A320neo (A20N)",,,0,1,1,,3622,403,677,2127
2025-07-28,A3963,"Bucharest / Henri Coanda (OTP/LROP)","Athens / Eleftherios Venizelos (ATH/LGAV)",21:15:00,22:50:00,01:35:00,"Aegean Airlines (A3/AEE)","Airbus A320-200 (A320)",,,0,1,1,,2230,3583,24,2059
2025-07-28,W43084,"Charleroi / Brussels South Charleroi (CRL/EBCI)","Bucharest / Henri Coanda (OTP/LROP)",08:15:00,12:00:00,02:45:00,"Aero Services Executive (W4/BES)","Airbus A321LR (A21N)",,,0,1,1,,615,2230,126,2181
2025-08-02,A3354,"Athens / Eleftherios Venizelos (ATH/LGAV)","Santorini / Santorini (JTR/LGSR)",10:05:00,10:55:00,00:50:00,"Aegean Airlines (A3/AEE)","Airbus A320-200 (A320)",,,0,1,1,,3583,1366,24,2059
2025-08-04,A3357,"Santorini / Santorini (JTR/LGSR)","Athens / Eleftherios Venizelos (ATH/LGAV)",12:30:00,13:20:00,00:50:00,"Aegean Airlines (A3/AEE)"," ()",,,0,1,1,,1366,3583,24,0
2025-08-04,A3906,"Athens / Eleftherios Venizelos (ATH/LGAV)","Larnaca / Larnaca (LCA/LCLK)",15:45:00,17:25:00,01:40:00,"Aegean Airlines (A3/AEE)","Airbus A321LR (A21N)",,,0,1,1,,3583,1572,24,2181
2025-08-08,LS1566,"Larnaca / Larnaca (LCA/LCLK)","London / Stansted (STN/EGSS)",23:15:00,02:10:00,03:55:00,"Jet2.com (LS/EXS)"," ()",,,0,1,1,,1572,2785,286,0
2026-01-03,RK7057,"Bodrum / Milas (BJV/LTFE)","London / Stansted (STN/EGSS)",13:35:00,14:50:00,03:15:00,"Air Afrique (RK/RKA)","Boeing 737-800 (B738)",G-RUKB,,0,1,1,,3645,2785,2447,231
2025-12-25,PC1170,"London / Stansted (STN/EGSS)","Istanbul / Sabiha Gokcen (SAW/LTFJ)",10:45:00,17:30:00,04:45:00,"Pegasus Airlines (PC/PGT)","Airbus A321neo (A21N)",TC-RFU,,0,1,1,,2785,3659,1014,2128
2026-01-03,TK2506,"Istanbul / Istanbul Airport (IST/LTFM)","Bodrum / Milas (BJV/LTFE)",10:20:00,11:35:00,01:15:00,"Turkish Airlines (TK/THY)","Boeing 737-900 (B739)",TC-JYM,,0,1,1,,8949,3645,769,232
2021-07-21,EK385,"Hong Kong / Hong Kong International (HKG/VHHH)","Bangkok / Suvarnabhumi (BKK/VTBS)",21:30:00,23:45:00,03:15:00,"Emirates (EK/UAE)"," ()",,,0,1,1,,1135,331,807,0
2021-07-22,EK385,"Bangkok / Suvarnabhumi (BKK/VTBS)","Dubai / Dubai International (DXB/OMDB)",01:05:00,04:55:00,06:50:00,"Emirates (EK/UAE)"," ()",,,0,1,1,,331,768,807,0
2021-07-23,EK213,"Dubai / Dubai International (DXB/OMDB)","Miami / Miami International (MIA/KMIA)",03:10:00,11:00:00,16:50:00,"Emirates (EK/UAE)","Boeing 777-300ER (B77W)",,,0,1,1,,768,1831,807,2023
2021-07-26,AA1739,"Miami / Miami International (MIA/KMIA)","Charlotte / Douglas (CLT/KCLT)",13:00:00,15:16:00,02:16:00,"American Airlines (AA/AAL)","Airbus A320-200 (A320)",,,0,1,1,,1831,575,4,2059
2021-07-26,AA5051,"Charlotte / Douglas (CLT/KCLT)","Knoxville / McGhee Tyson (TYS/KTYS)",16:30:00,17:37:00,01:07:00,"American Airlines (AA/AAL)"," ()",,,0,1,1,,575,3062,4,0
2021-07-27,AA5664,"Knoxville / McGhee Tyson (TYS/KTYS)","Charlotte / Douglas (CLT/KCLT)",19:49:00,21:11:00,01:22:00,"American Airlines (AA/AAL)"," ()",,,0,1,1,,3062,575,4,0
2021-07-27,AA2799,"Charlotte / Douglas (CLT/KCLT)","Baltimore / Washington (BWI/KBWI)",22:34:00,23:59:00,01:25:00,"American Airlines (AA/AAL)","Boeing 737-800 (B738)",,,0,1,1,,575,449,4,231
2021-08-17,AA2270,"Newark / Liberty International (EWR/KEWR)","Chicago / O'Hare (ORD/KORD)",17:45:00,19:45:00,03:00:00,"American Airlines (AA/AAL)"," ()",,,0,1,1,,851,2205,4,0
2021-08-04,B62460,"Philadelphia / Philadelphia (PHL/KPHL)","Boston / Logan (BOS/KBOS)",17:58:00,19:27:00,01:29:00,"JetBlue Airways (B6/JBU)"," ()",,,0,1,1,,2311,380,410,0
2021-08-09,B61901,"Buffalo / Greater Buffalo (BUF/KBUF)","New York / John F Kennedy (JFK/KJFK)",16:00:00,17:28:00,01:28:00,"JetBlue Airways (B6/JBU)","Bombardier CS300 (BCS3)",,,0,1,1,,430,1328,410,2113
2021-08-07,B62017,"Boston / Logan (BOS/KBOS)","New York / John F Kennedy (JFK/KJFK)",19:08:00,20:30:00,01:22:00,"JetBlue Airways (B6/JBU)"," ()",,,0,1,1,,380,1328,410,0
2021-08-07,B6102,"New York / John F Kennedy (JFK/KJFK)","Buffalo / Greater Buffalo (BUF/KBUF)",21:35:00,23:08:00,01:33:00,"JetBlue Airways (B6/JBU)"," ()",,,0,1,1,,1328,430,410,0
2021-08-18,AA2715,"Chicago / O'Hare (ORD/KORD)","Los Angeles / Los Angeles International (LAX/KLAX)",19:15:00,21:39:00,04:24:00,"American Airlines (AA/AAL)"," ()",,,0,1,1,,2205,1559,4,0
2021-08-19,AA8936,"Los Angeles / Los Angeles International (LAX/KLAX)","Hong Kong / Hong Kong International (HKG/VHHH)",00:15:00,05:45:00,13:30:00,"American Airlines (AA/AAL)","Boeing 777-300ER (B77W)",,,0,1,1,,1559,1135,4,2023
2024-09-17,HB297,"Hong Kong / Hong Kong International (HKG/VHHH)","Bangkok / Suvarnabhumi (BKK/VTBS)",22:40:00,00:45:00,03:05:00,"Greater Bay Airlines (HB/HGB)"," ()",,,0,1,1,,1135,331,3046,0
2024-09-21,SQ707,"Bangkok / Suvarnabhumi (BKK/VTBS)","Singapore / Changi (SIN/WSSS)",12:15:00,15:40:00,02:25:00,"Singapore Airlines (SQ/SIA)","Boeing 787 Dreamliner (B787)",,,0,1,1,,331,2672,703,2086
2024-09-23,CX636,"Singapore / Changi (SIN/WSSS)","Hong Kong / Hong Kong International (HKG/VHHH)",20:10:00,00:25:00,04:15:00,"Cathay Pacific (CX/CPA)","Airbus A321LR (A21N)",,,0,1,1,,2672,1135,199,2181
2025-03-08,CZ674,"London / Heathrow (LHR/EGLL)","Beijing / Beijing Daxing International Airport (PKX/ZBAD)",21:30:00,15:25:00,10:55:00,"China Southern Airlines (CZ/CSN)","Airbus A350 (A350)",,,0,1,1,,1618,9280,207,2109
2025-03-09,CZ647,"Beijing / Beijing Daxing International Airport (PKX/ZBAD)","Tokyo / Haneda (HND/RJTT)",09:45:00,14:05:00,03:20:00,"China Southern Airlines (CZ/CSN)","Airbus A330-300 (A333)",,,0,1,1,,9280,1152,207,31
